Type of Wine,Wine Grape,Estilo Vinho,Característica Vinho 1,Característica Vinho 2,Característica Vinho 3,Característica Vinho 4,Tipo de Queijo,Família Queijo,Textura Queijo,Sabor Queijo 1,Sabor Queijo 2,Sabor Queijo 3,Sabor Queijo 4,Tipo de Combinação,Sigla da Combinação,Detalhamento Combinação,texture_new,texture_creamy,texture_crumbly,texture_elastic,texture_firm,texture_granular,texture_hard,texture_smooth,type_new,type_blue,type_fresh,type_hard,type_semi-hard,type_soft,family_new,family_Swiss,family_blue,family_brie,family_camembert,family_cheddar,family_feta,family_goat,family_gorgonzola,family_gouda,family_manchego,family_mozzarella,family_parmesan,family_pecorino,family_ricotta,flavor_new,flavor_blue_veins,flavor_complex,flavor_creamy,flavor_dairy-like,flavor_fresh,flavor_fruity,flavor_goat-like,flavor_intense,flavor_mild,flavor_milky,flavor_nutty,flavor_pronounced_aroma,flavor_salty,flavor_slightly_acidic,flavor_slightly_fruity,flavor_slightly_salty,flavor_slightly_spicy,flavor_slightly_sweet,flavor_spicy,flavor_velvety,wedding_ID
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Azul,Azul,"Cremosa, esfarelante",Intenso, salgado, picante, veias azuis,Complementariedade,C,O queijo azul intensifica os sabores complexos do vinho tinto encorpado.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, salty, spicy, blue veins",True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,red - Cabernet Sauvignon
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,O Gouda suave e levemente salgado combina com os taninos e frutas negras do vinho.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,red - Cabernet Sauvignon
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Gorgonzola,Azul,"Cremosa, esfarelante",Intenso, picante, salgado, aroma acentuado,Complementariedade,C,Gorgonzola complementa o vinho com seu sabor intenso e picante.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,gorgonzola,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"intense, spicy, salty, pronounced aroma",False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,red - Cabernet Sauvignon
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Pecorino,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Pecorino destaca os sabores do vinho com sua textura granulada e sabor intenso.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,pecorino,False,False,False,False,False,False,False,False,False,False,False,False,True,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,red - Cabernet Sauvignon
red,Cabernet Sauvignon,Encorpado,Taninos firmes, frutas negras, especiarias,,Parmesão,Dura,"Granulada, dura",Salgado, intenso, frutado, complexo,Complementariedade,C,Parmesão acentua o perfil do vinho com sua textura granulada e sabor salgado.,"granular, hard",False,False,False,False,True,True,False,hard,False,False,True,False,False,parmesan,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"salty, intense, fruity, complex",False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,red - Cabernet Sauvignon
red,Merlot,Corpo Médio,Frutas negras, taninos suaves, corpo redondo,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,A suavidade do Gouda complementa os taninos suaves e o corpo redondo do Merlot.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,red - Merlot
red,Merlot,Corpo Médio,Frutas negras, taninos suaves, corpo redondo,,Azul,Azul,"Cremosa, esfarelante",Intenso, salgado, picante, veias azuis,Contraste,Cr,O contraste entre o vinho suave e o queijo azul intenso pode destacar ambos.,"creamy, crumbly",True,True,False,False,False,False,False,blue,True,False,False,False,False,blue,False,True,False,False,False,False,False,False,False,False,False,False,False,False,"intense, salty, spicy, blue veins",True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,red - Merlot
red,Merlot,Corpo Médio,Frutas negras, taninos suaves, corpo redondo,,Gruyère,Semi-dura,"Firme, macia",Leitoso, frutado, levemente picante, complexo,Complementariedade,C,Gruyère harmoniza com o Merlot ao equilibrar o frutado e o corpo do vinho.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,Swiss,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"milky, fruity, slightly spicy, complex",False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,red - Merlot
red,Merlot,Corpo Médio,Frutas negras, taninos suaves, corpo redondo,,Gouda,Semi-dura,"Firme, macia",Leitoso, levemente salgado, aveludado,,Complementariedade,C,A suavidade do Gouda complementa os taninos suaves e o corpo redondo do Merlot.,"firm, smooth",False,False,False,True,False,False,True,semi-hard,False,False,False,True,False,gouda,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"milky, slightly salty, velvety",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,red - Merlot
red,Pinot Noir,Leve a Médio,Frutas vermelhas, floral, taninos suaves,,Brie,Macio,"Cremosa, macia",Suave, levemente adocicado,,,Complementariedade,C,A cremosidade do Brie combina bem com os taninos suaves e o perfil frutado do Pinot Noir.,"creamy, smooth",True,False,False,False,False,False,True,soft,False,False,False,False,True,brie,False,False,True,False,False,False,False,False,False,False,False,False,False,False,"mild, slightly sweet",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,red - Pinot Noir
red,Pinot Noir,Leve a Médio,Frutas vermelhas, floral, taninos suaves,,Camembert,Macio,"Cremosa, macia",Suave, levemente adocicado,,,Complementariedade,C,Camembert e Pinot Noir harmonizam pela textura cremosa e o sabor leve.,"creamy, smooth",True,False,False,False,False,False,True,soft,False,False,False,False,True,camembert,False,False,False,True,False,False,False,False,False,False,False,False,False,False,"mild, slightly sweet",False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,red - Pinot Noir
